Time,Date,Sample,Study plot,Petal side,gsw,leak_pct,plant
12:18:13,2025-04-03,22.0,A,top,0.014356,0.2,#22
12:21:58,2025-04-03,23.0,A,bottom,0.016894,0.6,#23
12:22:30,2025-04-03,23.0,A,top,0.004297,0.5,#23
12:27:43,2025-04-03,24.0,A,bottom,0.006293,0.7,#24
12:28:09,2025-04-03,24.0,A,top,-0.001245,0.6,#24
12:32:27,2025-04-03,25.0,A,bottom,0.016492,0.7,#25
12:32:53,2025-04-03,25.0,A,top,-0.000546,0.6,#25
12:38:16,2025-04-03,26.0,A,bottom,0.007542,0.7,#26
12:38:41,2025-04-03,26.0,A,top,-0.019333,0.8,#26
12:43:49,2025-04-03,27.0,A,bottom,-0.007407,0.7,#27
12:44:23,2025-04-03,27.0,A,top,-0.007245,0.9,#27
12:46:49,2025-04-03,28.0,A,bottom,0.004402,0.6,#28
12:47:06,2025-04-03,28.0,A,top,-0.006991,0.6,#28
12:53:01,2025-04-03,29.0,A,bottom,0.21084,0.7,#29
12:53:25,2025-04-03,29.0,A,top,0.0294,0.9,#29
12:55:43,2025-04-03,30.0,A,bottom,0.003922,0.8,#30
12:56:13,2025-04-03,30.0,A,top,0.003336,0.8,#30
12:59:01,2025-04-03,31.0,A,bottom,-0.000138,0.9,#31
12:59:39,2025-04-03,31.0,A,top,0.010537,1.0,#31
13:01:35,2025-04-03,32.0,A,bottom,0.005623,0.6,#32
13:01:52,2025-04-03,32.0,A,top,0.009205,0.7,#32
13:05:56,2025-04-03,33.0,A,bottom,-0.006168,0.8,#33
13:06:37,2025-04-03,33.0,A,top,-0.000695,0.6,#33
13:08:43,2025-04-03,34.0,A,bottom,-0.006852,0.5,#34
13:09:03,2025-04-03,34.0,A,top,0.010308,0.8,#34
13:11:15,2025-04-03,35.0,A,bottom,-0.002642,0.8,#35
13:11:31,2025-04-03,35.0,A,top,-0.001316,0.6,#35
13:15:07,2025-04-03,36.0,A,bottom,-0.005553,0.6,#36
13:19:34,2025-04-03,37.0,A,bottom,-0.004144,0.7,#37
13:19:57,2025-04-03,37.0,A,top,0.000301,0.5,#37
13:21:42,2025-04-03,38.0,A,bottom,0.001456,0.5,#38
13:21:57,2025-04-03,38.0,A,top,0.001075,0.7,#38
13:25:12,2025-04-03,39.0,A,bottom,0.006751,0.8,#39
13:25:37,2025-04-03,39.0,A,top,0.003561,0.5,#39
13:27:24,2025-04-03,40.0,A,bottom,0.004727,0.8,#40
13:27:40,2025-04-03,40.0,A,top,0.001874,0.5,#40
09:45:55,2025-04-08,1.0,A,bottom,0.041329,0.4,#1
09:46:23,2025-04-08,1.0,A,top,0.005656,0.4,#1
09:49:35,2025-04-08,2.0,A,bottom,-0.005734,0.4,#2
09:50:05,2025-04-08,2.0,A,top,0.002850,-0.1,#2
10:04:56,2025-04-08,3.0,A,bottom,0.014101,0.3,#3
10:05:18,2025-04-08,3.0,A,top,-0.006437,0.3,#3
10:10:57,2025-04-08,4.0,A,bottom,0.003123,0.6,#4
10:11:18,2025-04-08,4.0,A,top,-0.010843,0.4,#4
10:15:02,2025-04-08,5.0,A,bottom,-0.016927,0.1,#5
10:15:54,2025-04-08,5.0,A,top,-0.006123,0.4,#5
10:19:15,2025-04-08,6.0,A,bottom,0.049742,0.7,#6
10:19:36,2025-04-08,6.0,A,top,0.055250,0.3,#6
10:21:22,2025-04-08,7.0,A,bottom,0.022932,0.5,#7
10:22:14,2025-04-08,7.0,A,top,0.015422,0.3,#7
10:25:05,2025-04-08,8.0,A,bottom,-0.008122,0.3,#8
10:25:22,2025-04-08,8.0,A,top,0.003188,0.4,#8
10:28:57,2025-04-08,9.0,A,bottom,-0.003290,0.5,#9
10:29:29,2025-04-08,9.0,A,top,-0.006142,0.5,#9
10:33:16,2025-04-08,10.0,A,bottom,0.003290,0.1,#10
10:33:44,2025-04-08,10.0,A,top,0.001072,0.6,#10
10:36:06,2025-04-08,11.0,A,bottom,0.002777,0.5,#11
10:38:43,2025-04-08,11.0,A,top,0.009164,0.5,#11
10:44:45,2025-04-08,12.0,A,bottom,-0.004778,0.4,#12
10:45:24,2025-04-08,12.0,A,top,0.008590,0.5,#12
10:51:39,2025-04-08,13.0,A,bottom,-0.003765,0.5,#13
10:51:59,2025-04-08,13.0,A,top,0.011052,0.3,#13
10:56:54,2025-04-08,14.0,A,top,0.000919,0.6,#14
10:58:15,2025-04-08,14.0,A,bottom,0.009027,0.5,#14
11:02:33,2025-04-08,15.0,A,bottom,0.060168,0.4,#15
11:03:09,2025-04-08,15.0,A,top,-0.009394,0.5,#15
11:09:37,2025-04-08,16.0,A,bottom,-0.004194,0.7,#16
11:10:27,2025-04-08,16.0,A,top,0.014102,0.3,#16
11:15:57,2025-04-08,17.0,A,bottom,0.010161,0.7,#17
11:16:20,2025-04-08,17.0,A,top,-0.006522,0.8,#17
11:20:06,2025-04-08,18.0,A,bottom,-0.000696,0.8,#18
11:21:16,2025-04-08,18.0,A,top,0.001188,0.8,#18
11:22:51,2025-04-08,19.0,A,bottom,-0.007758,0.7,#19
11:23:28,2025-04-08,19.0,A,top,0.001543,0.8,#19
11:40:29,2025-04-08,20.0,A,bottom,0.001009,0.6,#20
11:40:59,2025-04-08,20.0,A,top,0.005792,0.7,#20
